decimalLongitude,decimalLatitude,Elevation,ParamoComplex,Department,Locality,bio1_23,bio2_23,bio3_23,bio4_23,bio5_23,bio6_23,bio7_23,bio8_23,bio9_23,bio10_23,bio11_23,bio12_23,bio13_23,bio14_23,bio15_23,bio16_23,bio17_23,bio18_23,bio19_23,Cordilleras,clusters
-75.967333,3.975472,3500,Complejo de Paramos Las Hermosas (HMS),Valle del Cauca,"Valle del Cauca: Tulua: Santa Lucia, Cuenca Rio Tulua, Cgto. Santa Lucia, Fca. la Cascada",84,89,91,208,134,37,97,81,84,86,81,1643,231,66,38,631,258,366,631,Central,1
-75.59945,4.395417,2970,Complejo de Paramos Chili-Barragan (CBG),Quindio,"Quindio: Cordoba: Vda. Las Auras, Fca. el Porvenir",94,88,88,289,145,46,99,90,96,97,90,1635,220,74,38,627,254,401,627,Central,3
-76.942639,1.536028,3230,Complejo de Paramos Dona Juana-Chimayoy (DJP),Narino,"Narino: La Cruz: La Estancia, Vda. Paramito, Reserva Santa Helena",100,86,90,347,149,54,95,99,101,103,95,2346,248,142,19,713,463,667,585,Nudo de los Pastos,3
-76.938472,1.526361,3447,Complejo de Paramos Dona Juana-Chimayoy (DJP),Narino,"Narino: La Cruz: La Estancia, Vda. Paramito, Reserva Santa Helena",91,85,90,354,140,46,94,90,91,95,86,2426,279,139,22,782,452,685,642,Nudo de los Pastos,3
-75.485642,4.824056,3691,Complejo de Paramos Los Nevados (NVS),Risaralda,"Risaralda: Santa Rosa de Cabal: Vda. La Linda, Sector Cortaderal, Hacienda La Sierra",69,84,88,240,116,21,95,66,69,71,65,2128,254,93,27,654,364,584,654,Central,1
-75.256058,4.881497,3820,Complejo de Paramos Los Nevados (NVS),Tolima,"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo",61,83,85,229,108,11,97,62,60,63,58,2120,244,86,27,662,359,582,613,Central,1
-77.181333,0.99775,2810,Complejo de Paramos La Cocha-Patascoy (LCP),Narino,"Narino: Pasto: El Encano , Vda. Santa Lucia",122,89,89,406,173,73,100,120,124,125,116,1378,147,85,16,406,279,386,350,Nudo de los Pastos,3
-76.05925,6.503556,3407,Complejo de Paramos Frontino-Urrao (FRU),Antioquia,"Antioquia: Caicedo: Vda. Anocozca, Paramo El Junco",93,92,87,271,144,39,105,91,92,96,90,2816,362,117,33,950,418,870,809,Occidental,3
-76.967944,1.471389,2639,Complejo de Paramos Dona Juana-Chimayoy (DJP),Narino,"Narino: El Tablon de Gomez: Las Mesas, Vda. La Lava, Laguna el Silencio",125,89,91,308,174,77,97,125,120,128,120,2004,219,120,21,612,382,581,382,Nudo de los Pastos,3
-76.957028,1.469528,2899,Complejo de Paramos Dona Juana-Chimayoy (DJP),Narino,"Narino: El Tablon de Gomez: Las Mesas, Vda. La Lava, Laguna el Silencio",111,87,90,376,160,64,96,114,111,115,105,2314,242,146,17,685,476,662,555,Nudo de los Pastos,3
