"","decimalLongitude","decimalLatitude","Elevation","ParamoComplex","Department","Locality","Tmean","Prec"
"1",-75.967333,3.975472,3500,"Complejo de Paramos Las Hermosas (HMS)","Valle del Cauca","Valle del Cauca: Tulua: Santa Lucia, Cuenca Rio Tulua, Cgto. Santa Lucia, Fca. la Cascada",8.4,1643
"2",-75.59945,4.395417,2970,"Complejo de Paramos Chili-Barragan (CBG)","Quindio","Quindio: Cordoba: Vda. Las Auras, Fca. el Porvenir",9.4,1635
"3",-76.942639,1.536028,3230,"Complejo de Paramos Dona Juana-Chimayoy (DJP)","Narino","Narino: La Cruz: La Estancia, Vda. Paramito, Reserva Santa Helena",10,2346
"4",-76.938472,1.526361,3447,"Complejo de Paramos Dona Juana-Chimayoy (DJP)","Narino","Narino: La Cruz: La Estancia, Vda. Paramito, Reserva Santa Helena",9.1,2426
"5",-75.485642,4.824056,3691,"Complejo de Paramos Los Nevados (NVS)","Risaralda","Risaralda: Santa Rosa de Cabal: Vda. La Linda, Sector Cortaderal, Hacienda La Sierra",6.9,2128
"6",-75.256058,4.881497,3820,"Complejo de Paramos Los Nevados (NVS)","Tolima","Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo",6.1,2120
"7",-77.181333,0.99775,2810,"Complejo de Paramos La Cocha-Patascoy (LCP)","Narino","Narino: Pasto: El Encano , Vda. Santa Lucia",12.2,1378
"8",-76.05925,6.503556,3407,"Complejo de Paramos Frontino-Urrao (FRU)","Antioquia","Antioquia: Caicedo: Vda. Anocozca, Paramo El Junco",9.3,2816
"9",-76.967944,1.471389,2639,"Complejo de Paramos Dona Juana-Chimayoy (DJP)","Narino","Narino: El Tablon de Gomez: Las Mesas, Vda. La Lava, Laguna el Silencio",12.5,2004
"10",-76.957028,1.469528,2899,"Complejo de Paramos Dona Juana-Chimayoy (DJP)","Narino","Narino: El Tablon de Gomez: Las Mesas, Vda. La Lava, Laguna el Silencio",11.1,2314
"11",-72.721642,6.398106,2854,"Complejo de Paramos Guantiva-La Rusia (GLR)","Boyaca","Boyaca: Tipacoque: Parque Natural Municipal Robledales de Tipacoque, Vda. La Calera",12,1233
