decimalLongitude,decimalLatitude,Elevation,ParamoComplex,Department,Locality,clusters,unique_locality
-72.709972,7.098861,3200,Complejo de Paramos Almorzadero (ALM),Norte de Santander,"Norte de Santander: Chitaga: Vda. El Roble, Fca. de Don Hector Arias",2,ALM_1
-72.710139,7.102472,3040,Complejo de Paramos Almorzadero (ALM),Norte de Santander,"Norte de Santander: Chitaga: Vda. El Roble, Fca. de Don Hector Arias",4,ALM_2
-72.630639,7.152889,3041,Complejo de Paramos Almorzadero (ALM),Norte de Santander,Norte de Santander: Chitaga: Vda. Siaga,4,ALM_3
-72.636,7.154111,2861,Complejo de Paramos Almorzadero (ALM),Norte de Santander,Norte de Santander: Chitaga: Vda. Siaga,4,ALM_4
-72.627917,7.151222,3183,Complejo de Paramos Almorzadero (ALM),Norte de Santander,Norte de Santander: Chitaga: Vda. Siaga,4,ALM_5
-72.598111,7.220833,2700,Complejo de Paramos Almorzadero (ALM),Norte de Santander,Norte de Santander: Chitaga: Vda. Tane,4,ALM_6
-72.597028,7.214528,2860,Complejo de Paramos Almorzadero (ALM),Norte de Santander,Norte de Santander: Chitaga: Vda. Tane,4,ALM_7
-72.617611,6.665472,3045,Complejo de Paramos Almorzadero (ALM),Santander,"Santander: Carcasi: Vda. Victarigua, La Palma, Alto de Curubita",2,ALM_8
-72.623306,6.666556,3285,Complejo de Paramos Almorzadero (ALM),Santander,"Santander: Carcasi: Vda. Victarigua, La Palma, Alto de Curubita",2,ALM_9
-72.620889,6.664722,3175,Complejo de Paramos Almorzadero (ALM),Santander,"Santander: Carcasi: Vda. Victarigua, La Palma, Alto de Curubita",2,ALM_10
-72.622306,6.773111,3300,Complejo de Paramos Almorzadero (ALM),Santander,"Santander: Concepcion: Vda. Aguabri, Jurado",2,ALM_11
-72.629639,6.77425,3090,Complejo de Paramos Almorzadero (ALM),Santander,"Santander: Concepcion: Vda. Aguabri, Jurado",2,ALM_12
-72.6375,6.751667,2880,Complejo de Paramos Almorzadero (ALM),Santander,"Santander: Concepcion: Vda. Aguabri, Jurado",4,ALM_13
