unique_locality,Accipiter striatus,Adelomyia melanogenys,Aglaeactis cupripennis,Agriornis montanus,Amblycercus holosericeus,Ampelion rubrocristatus,Anairetes parulus,Andigena hypoglauca,Anisognathus igniventris,Anisognathus lacrymosus,Arremon assimilis,Arremon torquatus,Asthenes flammulata,Asthenes fuliginosa,Atlapetes latinuchus,Atlapetes leucopis,Atlapetes pallidinucha,Atlapetes schistaceus,Aulacorhynchus prasinus,Basileuterus tristriatus,Boissonneaua flavescens,Bolborhynchus ferrugineifrons,Bubo virginianus,Buthraupis montana,Cacicus chrysonotus,Campephilus pollens,Campylopterus falcatus,Cardellina canadensis,Catamblyrhynchus diadema,Catamenia analis,Catamenia homochroa,Catamenia inornata,Catharus ustulatus,Chalcostigma herrani,Chalcostigma heteropogon,Chlorornis riefferii,Chlorospingus canigularis,Chlorospingus flavopectus,Chordeiles minor,Cinclodes excelsior,Cinnycerthia olivascens,Cinnycerthia unirufa,Cistothorus apolinari,Cistothorus platensis,Cnemathraupis eximia,Cnemoscopus rubrirostris,Coeligena bonapartei,Coeligena coeligena,Coeligena helianthea,Coeligena lutetiae,Coeligena orina,Coeligena torquata,Colaptes rivolii,Colibri coruscans,Colibri thalassinus,Conirostrum albifrons,Conirostrum rufum,Conirostrum sitticolor,Cyanocorax yncas,Cyanolyca armillata,Cyphorhinus thoracicus,Dendrocincla tyrannina,Dendrocolaptes picumnus,Diglossa albilatera,Diglossa brunneiventris,Diglossa caerulescens,Diglossa cyanea,Diglossa gloriosissima,Diglossa humeralis,Diglossa lafresnayii,Diglossa sittoides,Doryfera ludovicae,Dubusia taeniata,Elaenia albiceps,Elaenia frantzii,Elaenia pallatangae,Empidonax virescens,Ensifera ensifera,Eriocnemis cupreoventris,Eriocnemis derbyi,Eriocnemis mosquera,Eriocnemis vestita,Gallinago jamesoni,Gallinago nobilis,Geothlypis philadelphia,Glaucidium jardinii,Grallaria nuchalis,Grallaria quitensis,Grallaria rufula,Grallaria squamigera,Grallaricula cucullata,Grallaricula lineifrons,Grallaricula nana,Haplospiza rustica,Heliangelus amethysticollis,Heliangelus exortis,Heliodoxa rubinoides,Hellmayrea gularis,Hemitriccus granadensis,Henicorhina leucophrys,Iridosornis porphyrocephalus,Iridosornis rufivertex,Kleinothraupis atropileus,Lafresnaya lafresnayi,Leiothlypis peregrina,Lepidocolaptes lacrymiger,Leptasthenura andicola,Lesbia nuna,Lesbia victoriae,Macroagelaius subalaris,Margarornis squamiger,Mecocerculus leucophrys,Mecocerculus minor,Mecocerculus poecilocercus,Mecocerculus stictopterus,Megascops albogularis,Metallura iracunda,Metallura tyrianthina,Metallura williami,Mionectes striaticollis,Myioborus melanocephalus,Myioborus ornatus,Myiotheretes fumigatus,Myiothlypis coronata,Myiothlypis luteoviridis,Myiothlypis nigrocristata,Ochthoeca cinnamomeiventris,Ochthoeca diadema,Ochthoeca frontalis,Ochthoeca fumicolor,Ochthoeca rufipectoralis,Opisthoprora euryptera,Orochelidon murina,Oxypogon guerinii,Oxypogon stubelii,Pachyramphus versicolor,Patagioenas fasciata,Phrygilus unicolor,Phyllomyias nigrocapillus,Phyllomyias uropygialis,Pipreola arcuata,Pipreola riefferii,Poecilotriccus ruficeps,Pseudocolaptes boissonneautii,Pseudospingus verticalis,Pseudotriccus ruficeps,Pterophanes cyanopterus,Pyrrhomyias cinnamomeus,Pyrrhura calliptera,Ramphastos ambiguus,Ramphomicron microrhynchum,Scytalopus griseicollis,Scytalopus latrans,Scytalopus opacus,Sphenopsis frontalis,Sphenopsis melanotis,Spinus psaltria,Spinus spinescens,Sturnella magna,Synallaxis azarae,Synallaxis subpudica,Synallaxis unirufa,Systellura longirostris,Tangara nigroviridis,Tangara vassorii,Thlypopsis superciliaris,Thraupis cyanocephala,Thripadectes holostictus,Tiaris obscurus,Troglodytes aedon,Troglodytes solstitialis,Trogon personatus,Turdus fuscater,Turdus serranus,Uromyias agilis,Uropsalis segmentata,Urothraupis stolzmanni,Veniliornis nigriceps,Zonotrichia capensis
ALM_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALM_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALM_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALM_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALM_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALM_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALM_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALM_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALM_3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALM_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
