unique_locality,Annual_Mean_Temp,Mean_Diurnal_Range,Isothermality,Temp_seasonality,Max_Temp_warmest_month,Min_Temp_coldest_month,Temp_annual_range,Mean_Temp_wettest_quarter,Mean_Temp_driest_quarter,Mean_Temp_warmest_quarter,Mean_Temp_coldest_quarter,Annual_Precipitation,Prec_wettest_month,Prec_driest_month,Prec_seasonality,Prec_wettest_quarter,Prec_drier_quarter,Prec_warmest_quarter,Prec_coldest_quarter
ALM_1,65,88,72,409,122,0,122,64,64,70,61,1337,173,20,47,487,111,358,113
ALM_10,77,91,74,400,136,14,122,75,75,82,72,1593,217,25,48,606,130,432,528
ALM_11,70,89,72,393,128,6,122,69,67,75,66,1595,223,23,50,618,127,421,542
ALM_12,87,92,74,368,146,22,124,85,84,91,83,1486,202,22,49,566,116,407,548
ALM_13,106,96,75,368,168,41,127,109,104,111,102,1258,165,23,45,462,110,375,380
ALM_14,80,89,72,359,137,14,123,83,76,84,76,1245,157,23,45,456,114,367,114
ALM_15,80,89,72,359,137,14,123,83,76,84,76,1245,157,23,45,456,114,367,114
ALM_2,93,90,72,402,151,26,125,97,89,98,89,1134,145,19,49,429,90,329,128
ALM_3,91,90,72,409,148,23,125,94,86,95,86,1193,165,20,51,451,90,328,90
ALM_4,109,91,73,359,166,43,123,112,104,113,104,1133,160,20,51,432,84,315,119
ALM_5,91,90,72,409,148,23,125,94,86,95,86,1193,165,20,51,451,90,328,90
ALM_6,115,91,74,306,172,50,122,115,111,118,111,1052,154,20,52,413,79,284,114
ALM_7,101,91,73,370,158,34,124,100,96,105,96,1177,170,21,53,456,86,318,86
ALM_8,77,91,74,400,136,14,122,75,75,82,72,1593,217,25,48,606,130,432,528
ALM_9,77,91,74,400,136,14,122,75,75,82,72,1593,217,25,48,606,130,432,528
CBG_22,80,86,88,276,129,32,97,76,82,82,76,1781,230,87,34,654,302,459,654
CBG_23,80,86,88,276,129,32,97,76,82,82,76,1781,230,87,34,654,302,459,654
CBG_24,80,86,88,276,129,32,97,76,82,82,76,1781,230,87,34,654,302,459,654
CBG_25,80,86,88,276,129,32,97,76,82,82,76,1781,230,87,34,654,302,459,654
CBG_26,80,86,88,276,129,32,97,76,82,82,76,1781,230,87,34,654,302,459,654
CBG_27,80,86,88,276,129,32,97,76,82,82,76,1781,230,87,34,654,302,459,654
CBG_28,99,88,89,294,149,51,98,94,100,101,94,1655,225,75,38,633,258,407,633
CBG_29,99,88,89,294,149,51,98,94,100,101,94,1655,225,75,38,633,258,407,633
CBG_30,72,85,90,218,119,25,94,69,73,74,69,1835,231,92,32,653,323,479,653
