Species,mean_Weight,mean_totalCulmen,mean_exposedCulmen,mean_billDepth,mean_billWidth,mean_gape,mean_wingArea,mean_wingLength,mean_distPrimarySecondary,mean_tailLength,mean_tailShape,mean_Tarsus,mean_Hallux,mean_Wingspan
Accipiter striatus,103.9225,17.001666666666665,13.648333333333333,10.151666666666667,8.193333333333333,13.816666666666666,2495.1099999999997,170.75,27.178,102.83333333333333,76.375,51.358333333333334,18.238333333333333,NaN
Adelomyia melanogenys,4.283333333333333,18.310000000000002,14.822,2,2.814,4.095,122,56.63333333333333,37.26,37.83166666666666,15.616666666666667,7.153333333333333,5.831666666666667,NaN
Aglaeactis cupripennis,7.53,24.095,18.961363636363636,1.782857142857143,2.835909090909091,4.721,179.8025,81.64,35.81,50.823076923076925,12.966000000000001,6.7411111111111115,7.601875,NaN
Agriornis montanus,36,24.5,18.3,5.1,6.7,11.5,783.73,104,62,85,18,27.9,25.2,NaN
Amblycercus holosericeus,47.5,27.733333333333334,24.4,7.533333333333333,6.133333333333334,9.466666666666667,889.9033333333333,87,NaN,92,19.5,33.8,19.833333333333332,NaN
Ampelion rubrocristatus,70.771,17.66875,11.304545454545455,7.140909090909091,7.9,14.888571428571428,840.3133333333333,115.45454545454545,25.187142857142856,81.67777777777778,35.303333333333335,25.085555555555555,16.825555555555557,NaN
Anairetes parulus,6,11.7,7.7,2.2,3.4,5,24.71,48,5,50,NaN,17.8,9.2,NaN
Andigena hypoglauca,330.33,97.08,80.78,29.71,27.71,NaN,NaN,185,9,180,NaN,38.72,14.2,NaN
Anisognathus igniventris,37.592089552238804,14.739855072463769,10.698695652173914,6.835901639344263,6.668,11.11,2831.08085106383,95.63530303030304,14.114722222222222,78.58846153846154,25.438846153846153,25.162666666666667,13.631076923076924,277.8181818181818
Anisognathus lacrymosus,36.82093023255814,16.304285714285715,11.47695652173913,7.013636363636364,6.53175,11.285227272727273,546.7792307692307,90.525625,14.42909090909091,76.726,24.430689655172415,26.406382978723403,14.045813953488372,254.86666666666667
Arremon assimilis,41.31666666666666,17.05909090909091,13.869,7.445555555555555,6.463333333333333,9.681,691.42,83.785,6.545,85.10333333333334,14.39125,32.53818181818182,18.076,220
Arremon torquatus,41.75,17.4775,14.4225,7.066666666666666,6.6575,10.65,245.95999999999998,83.75,52.333333333333336,87.25,13,35.013333333333335,17.744999999999997,180
Asthenes flammulata,18.527272727272727,14.476363636363637,11.19,3.8736363636363635,3.5833333333333335,7.601,3470.73,60.85454545454545,6.966666666666667,81.222,51.8625,23.939090909090908,13.617272727272727,188.11111111111111
Asthenes fuliginosa,17.322307692307692,14.135714285714286,10.318571428571428,3.473333333333333,3.1942857142857144,7.446666666666666,2088.4500000000003,61.019999999999996,9.36111111111111,105.36461538461539,80.95375,25.872307692307693,12.767142857142858,179
Atlapetes latinuchus,31.9,16.02,12.363333333333333,6.225,6.17,10.44,2150.45,74.2,8.455,78.78833333333333,3.92,29.4,12.72,NaN
Atlapetes leucopis,43,18,12.3,7,7.3,12.4,623.56,78,46,73,18,36.2,19,NaN
Atlapetes pallidinucha,36.4953488372093,15.955,12.204042553191488,7.182916666666666,6.241818181818182,10.686,2007.2220588235293,76.4627659574468,11.012962962962963,80.88466666666666,9.061875,30.52391304347826,17.025238095238095,229.33333333333334
Atlapetes schistaceus,29.080363636363636,14.587833333333334,11.563333333333334,6.279322033898305,5.4926,9.189464285714285,453.00600000000003,76.99533333333333,29.474545454545453,83.08137931034483,11.05025,26.933103448275862,14.797368421052632,207.68571428571428
Aulacorhynchus prasinus,72,72.3,66.5,25,20.5,26.4,NaN,141,7,147,NaN,42.5,25.6,NaN
Basileuterus tristriatus,9.833333333333334,11.853333333333333,9.486666666666666,3.3533333333333335,4.11,8.533333333333333,3130.866666666667,51,NaN,66.66666666666667,12.333333333333334,20.96,11.763333333333334,166.33333333333334
Boissonneaua flavescens,7,21,16.2,2.8,3,5.5,1707.32,79.8,50,46.8,25.3,7.3,6,NaN
Bolborhynchus ferrugineifrons,66,16.25,13.358333333333334,15.12,11.2,11.21,778.05,120.33333333333333,40.5,75.32000000000001,29.366666666666667,16.208333333333332,9.39,NaN
Bubo virginianus,125,29,25,8.1,6.6,14.9,11403,124,105,135,0,49.2,23,NaN
Buthraupis montana,104,22.04529411764706,17.984117647058824,11.255,8.483333333333334,15.152941176470588,5204.947692307693,131.86333333333334,27.651,90.858125,30.946428571428573,33.67,18.45388888888889,338.5
Cacicus chrysonotus,61.5,31.7,28.65,8.2,7.65,12.899999999999999,1370.515,130.5,43,133.5,27,31,21.75,NaN
Campephilus pollens,205,51.6,42.4,13.3,13.1,NaN,2976.4,190,23.7,152,28,34.9,NaN,NaN
Campylopterus falcatus,8.5,NaN,24,2.8,3.5,4.6,57.3,65,31.21,45,39.06,2.8,6.3,NaN
Cardellina canadensis,9,13.2,9.3,3.4,4.6,5.6,2780.16,66.3,18,51.4,35.1,20.6,7.3,NaN
Catamblyrhynchus diadema,17,9.366,6.92,7.2459999999999996,5.468,8.64,2346.795,62.4,34.79,66.8,13.834,23.44,15.168,182.5
Catamenia analis,14,12.16,10.18,7.44,5.82,8.41,NaN,66,11.18,53.69,5.53,21.64,15.63,208
Catamenia homochroa,12.68,10.543333333333333,7.5175,5.55,4.656666666666666,7.57,NaN,64.5,5.407500000000001,53.25,31.1175,19.9775,13.254999999999999,NaN
Catamenia inornata,14.941162790697675,11.3124,8.916041666666667,6.921276595744681,5.327234042553192,7.519148936170213,1803.6820588235294,63.255,16.67948717948718,57.708723404255316,12.644615384615385,22.18408163265306,13.209555555555555,189.875
Catharus ustulatus,23.5,16.16,10.16,4.22,5.4,12.65,NaN,89,28.75,59.31,0,25.72,12.7,274
Chalcostigma herrani,5.675833333333333,15.737837837837837,11.697857142857142,1.8262790697674418,2.227560975609756,4.073478260869566,91.035,69.14285714285714,24.86081081081081,53.19477272727273,28.702142857142857,6.007272727272727,7.266923076923077,NaN
Chalcostigma heteropogon,5.874358974358974,16.676190476190477,12.82125,1.9060975609756097,2.4134146341463416,4.097317073170732,1361.9981818181818,64.87441860465117,37.08,55.37720930232558,13.333023255813954,6.393055555555556,6.65,158.96
Chlorornis riefferii,56.375,19.976,12.3025,8.976666666666667,8.302,12.55,NaN,110.66666666666667,17.37,82.42,44.61,31.45,17.322499999999998,340
Chlorospingus canigularis,20.77777777777778,15.75,11.375,6.114285714285715,5.5,9.375,4066.52875,68.17777777777778,8.175,63.75714285714286,34.285714285714285,25.575,9.15,NaN
