Species,mean_Weight,mean_totalCulmen,mean_exposedCulmen,mean_billDepth,mean_billWidth,mean_gape,mean_wingLength,mean_distPrimarySecondary,mean_tailLength,mean_tailShape,mean_Tarsus,mean_Hallux
Accipiter striatus,99.24142857142857,18.384285714285713,12.503571428571428,10.112857142857143,7.967272727272728,12.5025,177.41666666666666,34.05,121.02428571428571,76.375,49.425714285714285,19.47
Adelomyia melanogenys,4.21875,18.03684210526316,14.641,2.0772222222222223,2.4763157894736842,3.650909090909091,55.27095238095238,34.6205,35.8145,6.718333333333334,6.584444444444444,5.709411764705883
Aglaeactis cupripennis,7.82,23.894444444444446,19.001627906976744,2.1264102564102565,2.4030232558139533,4.123636363636363,80.70975609756097,46.53785714285714,48.48909090909091,1.8226666666666669,6.532727272727272,6.9464
Agriornis montanus,36,24.5,18.3,5.1,6.7,11.5,104,62,85,18,27.9,25.2
Amblycercus holosericeus,49.5,28.8725,25.403125,9.1425,6.3,8.73,89.155625,5.8536363636363635,97.129375,24.023846153846154,30.67875,22.281875
Ampelion rubrocristatus,70.731875,19.18921052631579,13.766829268292684,6.9275,6.903333333333333,14.2234375,112.8852380952381,24.21236842105263,80.02560975609757,10.771333333333333,23.556410256410256,17.174054054054054
Anairetes parulus,6,11.163333333333334,7.693333333333333,2.3466666666666667,3.04,4.7,46.67,6.073333333333333,47.74333333333333,5.365,18,9.176666666666666
Andigena hypoglauca,334.566,87.99714285714285,80.66571428571429,30.544,28.041428571428572,33.3725,176.58857142857144,14.48,155.62166666666667,48.90833333333333,38.30142857142857,15.475999999999999
Anisognathus igniventris,37.3877,15.53992125984252,11.115891472868217,7.118717948717949,6.313047619047619,10.580485436893204,95.8584,14.083684210526316,77.12701612903226,13.252090909090908,25.19925,14.31656
Anisognathus lacrymosus,35.39605263157895,16.525409836065574,11.922118644067798,7.098440366972477,6.094545454545455,10.492156862745098,90.64578512396695,14.601904761904763,75.25685950413224,9.163061224489793,25.557457627118644,14.699137931034484
Arremon assimilis,41.469565217391306,17.945,14.213478260869564,7.501176470588235,6.022105263157894,9.713636363636363,83.23541666666667,5.9926315789473685,83.4965,16.75578947368421,31.689565217391305,18.277727272727272
Arremon torquatus,39.00692307692308,18.163125,14.38,7.761176470588236,5.777777777777778,9.134705882352941,81.77470588235293,15.370000000000001,83.51058823529412,16.45764705882353,31.13125,17.913125
Asthenes flammulata,20.458823529411763,16.04153846153846,12.034814814814816,3.934230769230769,3.4042105263157896,7.249,62.675357142857145,6.947894736842105,74.4736,43.1647619047619,24.268571428571427,15.7164
Asthenes fuliginosa,17.284814814814816,15.283188405797102,10.573382352941177,3.4913333333333334,3.0853030303030304,6.855967741935483,59.447857142857146,8.304761904761905,100.76584615384616,68.0422033898305,23.544918032786885,15.60923076923077
Atlapetes latinuchus,29.2,16.053571428571427,12.695,6.781,5.712307692307692,9.17,72.68615384615384,7.273333333333333,77.47071428571428,9.845,27.600714285714286,14.884545454545455
Atlapetes leucopis,43,18,12.3,7,7.3,12.4,78,46,73,18,36.2,19
Atlapetes pallidinucha,36.35892857142857,16.207323943661972,12.423513513513514,7.230945945945946,6.0042857142857144,9.949833333333332,76.34421052631579,9.98842105263158,78.8236,10.49909090909091,29.926266666666667,17.448732394366196
Atlapetes schistaceus,28.112000000000002,15.011734693877552,11.632178217821782,6.366105263157895,5.295274725274726,8.712093023255814,76.17653465346535,20.565473684210524,81.80469387755102,11.498333333333333,26.65,15.087912087912088
Aulacorhynchus prasinus,172.33333333333334,68.36875,65.52428571428571,23.58125,21.901666666666667,26.56,132.02,8.05,118.30375000000001,55.46857142857143,33.13625,13.030000000000001
Basileuterus tristriatus,12.5,12.825384615384616,9.688,3.7215384615384615,4.208666666666667,6.799230769230769,59.86333333333334,7.994166666666667,56.966153846153844,7.93,20.385,12.588
Boissonneaua flavescens,9.2,22.305,17.56625,2.4722222222222223,2.1077777777777778,4.163333333333333,75.86375,46.028888888888886,46.07,-3.1488888888888886,7.3,5.9975000000000005
Bolborhynchus ferrugineifrons,65.44444444444444,16.906,13.459090909090909,15.406666666666666,10.543333333333333,11.21,120.05454545454545,41.02444444444445,65.008,25.31,16.333333333333336,9.665
Bubo virginianus,125,38.754999999999995,29.44,16.015,12.23,25.285,249,82.51,170.5,0,51.135000000000005,25.525
Buthraupis montana,102.41666666666667,23.029183673469387,17.91375,11.253478260869565,8.678888888888888,13.943333333333333,133.9912,26.90309523809524,90.17446808510638,11.34488888888889,32.606,19.8752
Cacicus chrysonotus,77,30.80090909090909,28.846363636363638,9.146363636363636,7.159,10.804545454545455,138.88363636363636,28.153636363636362,128.11909090909091,27.544999999999998,30.606,21.701999999999998
Campephilus pollens,181.25,49.704,41.8725,12.502,12.424,17.436666666666667,175.2,21.431666666666665,119.38333333333334,42.96,31.756666666666668,16.15
Campylopterus falcatus,8.15,28.25,23.564999999999998,2.8,3.26,4.6,66.08500000000001,36.3,43.485,19.53,2.8,6.3
Cardellina canadensis,9.166666666666666,13.115,9.73,3.83,4.342499999999999,5.625,65.0125,17.465,52.285,11.7575,18.475,9.6725
Catamblyrhynchus diadema,15.027777777777779,10.223448275862069,8.385862068965517,7.2340740740740745,5.465862068965517,7.576315789473684,65.81571428571428,10.346538461538461,67.15925925925926,15.171739130434784,21.934814814814814,14.588275862068965
Catamenia analis,14,10.634285714285713,8.443333333333333,6.695714285714286,4.715,6.42,61.97571428571428,8.892857142857142,51.69285714285714,3.7875,18.817142857142855,13.942
