X1,occurrenceID,rightsHolder,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordedBy,Source,Date,yearMeasurement,Sex,lifeStage,Department,Municipality,ParamoComplex,Locality,Elevation,decimalLatitude,decimalLongitude,Order,Family,Species,Weight,totalCulmen,exposedCulmen,billDepth,billWidth,gape,wingArea,wingLength,distPrimarySecondary,tailLength,tailShape,Tarsus,Hallux,halluxClaw,Wingspan,Weight_Dunning2008
1,IAvH:SSEYC:LASHERMOSAS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN050:1341,F. Mellizas,Human observation,IAvH,IAvH,IAvH:SSEYC:LASHERMOSAS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN050:1341,"Jean Wilmar Parra Colorado, Wilmer Antonio Cardona Ocampo",Field,24-Oct-14,2014,Undetermined,Adult,Valle del Cauca,Tulua,Complejo de Paramos Las Hermosas (HMS),"Valle del Cauca: Tulua: Santa Lucia, Cuenca Rio Tulua, Cgto. Santa Lucia, Fca. la Cascada",3500,3.975472,-75.967333,Accipitriformes,Accipitridae,Accipiter striatus,103.36,14.85,10.88,11.5,8.22,13.65,NA,175,23.43,142,78.48,48.36,20.14,NA,NA,138.42
2,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0610,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0610,"Jean W. Parra, Antonio Cardona",Field,20-Mar-14,2014,Not registered,Not registered,Quindio,Cordoba,Complejo de Paramos Chili-Barragan (CBG),"Quindio: Cordoba: Vda. Las Auras, Fca. el Porvenir",2970,4.395417,-75.59945,Accipitriformes,Accipitridae,Accipiter striatus,108.33,16.66,10.11,10.91,8.16,NA,NA,166,23.46,160,74.27,43.89,20.49,NA,NA,138.42
3,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:ESPECIMENPRESERVADO:I2D-BIO_2015_IN0100:1748,UDENAR,Preserved specimen,IAvH,IAvH,Temp-ABW566,"Aquiles Gutierrez, Carlos Ordonez, Nixon Guerrero, Daniel Pantoja",Field,12-Mar-15,2015,Undetermined,Adult,Narino,La Cruz,Complejo de Paramos Dona Juana-Chimayoy (DJP),"Narino: La Cruz: La Estancia, Vda. Paramito, Reserva Santa Helena",3230,1.536028,-76.942639,Accipitriformes,Accipitridae,Accipiter striatus,NA,17.8,15.4,11.1,8.2,13.8,NA,170,40,140,NA,55.1,16.6,NA,NA,138.42
4,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1727,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1727,"Aquiles Gutierrez, Carlos Ordonez, Nixon Guerrero, Daniel Pantoja",Field,8-Mar-15,2015,Undetermined,Adult,Narino,La Cruz,Complejo de Paramos Dona Juana-Chimayoy (DJP),"Narino: La Cruz: La Estancia, Vda. Paramito, Reserva Santa Helena",3447,1.526361,-76.938472,Accipitriformes,Accipitridae,Accipiter striatus,NA,NA,NA,NA,NA,NA,2587.6,NA,NA,NA,NA,NA,NA,NA,NA,138.42
5,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5386,WCS,Human observation,IAvH,IAvH,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5386,Alejandra Hurtado Giraldo,Field,20-Apr-14,2014,Undetermined,Not registered,Risaralda,Santa Rosa de Cabal,Complejo de Paramos Los Nevados (NVS),"Risaralda: Santa Rosa de Cabal: Vda. La Linda, Sector Cortaderal, Hacienda La Sierra",3691,4.824056,-75.485642,Accipitriformes,Accipitridae,Accipiter striatus,NA,18.8,18.8,9.9,NA,14,NA,NA,NA,15,NA,52.8,15.1,NA,NA,138.42
6,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5148,WCS,Human observation,IAvH,IAvH,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5148,Fanny Lorena Gonzalez Zapata,Field,24-Mar-14,2014,Male,Adult,Tolima,Murillo,Complejo de Paramos Los Nevados (NVS),"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo",3820,4.881497,-75.256058,Accipitriformes,Accipitridae,Accipiter striatus,104,15.9,10.6,9.3,NA,NA,NA,NA,4,14,NA,59.1,19.3,NA,NA,138.42
7,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1461,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1461,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,12-Jun-15,2015,Undetermined,Not registered,Narino,Pasto,Complejo de Paramos La Cocha-Patascoy (LCP),"Narino: Pasto: El Encano , Vda. Santa Lucia",2810,0.99775,-77.181333,Accipitriformes,Accipitridae,Accipiter striatus,100,18,16.1,8.2,NA,NA,2402.62,172,45,146,NA,48.9,17.8,NA,NA,138.42
8,IAvH:SSEYC:FRONTINOURRAO:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN047:0675,UDEA,Human observation,IAvH,IAvH,NA,Dariel Martinez Alvarado,Field,31-Mar-14,2014,Undetermined,Adult,Antioquia,Caicedo,Complejo de Paramos Frontino-Urrao (FRU),"Antioquia: Caicedo: Vda. Anocozca, Paramo El Junco",3407,6.503556,-76.05925,Apodiformes,Trochilidae,Adelomyia melanogenys,4,18.36,15.41,NA,2.97,4.08,NA,51,NA,42.59,6.85,5.62,7.19,NA,NA,4.85
9,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1528,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1528,"Aquiles Gutierrez, Carlos Ordonez, Nixon Guerrero, Daniel Pantoja",Field,24-Feb-15,2015,Undetermined,Adult,Narino,El Tablon de Gomez,Complejo de Paramos Dona Juana-Chimayoy (DJP),"Narino: El Tablon de Gomez: Las Mesas, Vda. La Lava, Laguna el Silencio",2639,1.471389,-76.967944,Apodiformes,Trochilidae,Adelomyia melanogenys,5.4,18.6,NA,2.1,3,NA,NA,62,43,39,NA,9.3,8.3,NA,NA,4.85
10,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1526,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1526,"Aquiles Gutierrez, Carlos Ordonez, Nixon Guerrero, Daniel Pantoja",Field,24-Feb-15,2015,Undetermined,Adult,Narino,El Tablon de Gomez,Complejo de Paramos Dona Juana-Chimayoy (DJP),"Narino: El Tablon de Gomez: Las Mesas, Vda. La Lava, Laguna el Silencio",2639,1.471389,-76.967944,Apodiformes,Trochilidae,Adelomyia melanogenys,5.2,17.3,15.5,1.9,2.9,4.2,NA,62,35,40,NA,8,6.4,NA,NA,4.85
