"","quanti.correlation","quanti.p.value"
"Annual_Precipitation",0.872117434946308,2.01381164903767e-151
"Prec_wettest_quarter",0.8092011444252,3.59892260967933e-113
"Prec_wettest_month",0.801303887508886,2.18553871156789e-109
"Prec_warmest_quarter",0.796891198902846,2.39871466570287e-107
"Prec_drier_quarter",0.778897516365752,1.60193430169157e-99
"Prec_driest_month",0.771144740422282,2.2510804994733e-96
"Isothermality",0.732092510333041,3.17690367428405e-82
"Min_Temp_coldest_month",0.566894241685942,2.0566113688228e-42
"Prec_coldest_quarter",0.544197625407424,1.38543044074344e-38
"Mean_Temp_coldest_quarter",0.469768585151917,6.96554747090581e-28
"Annual_Mean_Temp",0.444019184353076,9.41528215663451e-25
"Mean_Temp_driest_quarter",0.43941604789686,3.2061196777739e-24
"Mean_Temp_warmest_quarter",0.408807681390498,6.98811429154433e-21
"Mean_Temp_wettest_quarter",0.407960776709978,8.54968136675247e-21
"Mean_Diurnal_Range",0.310609514928794,2.90811932360804e-12
"Max_Temp_warmest_month",0.306421913467738,5.85524663215359e-12
"Temp_seasonality",-0.137096998671869,0.00253209997471185
"Prec_seasonality",-0.21717161557921,1.44937668331356e-06
"Temp_annual_range",-0.28740464630326,1.22430722886746e-10
