"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"Annual_Mean_Temp",0.75969453068998,0.197153036073568,0.0403022142787851,0.000310071837243768,0.000943354863281409
"Mean_Diurnal_Range",0.374317542324552,0.0964782707643003,0.31579719701419,2.17254686185109e-05,0.205674646783962
"Isothermality",0.205521416326859,0.535959443685732,0.0547043407436906,0.0442942409688705,0.0758899798853348
"Temp_seasonality",0.406880538904422,0.0187955870448344,0.214132219631493,0.201804916791163,0.0350211450385518
"Max_Temp_warmest_month",0.891917347493428,0.093894389053228,0.00749221710715386,0.000463489497538302,0.000103042047083867
"Min_Temp_coldest_month",0.437485688755529,0.321369081256676,0.222689839708049,0.00472491877841039,0.00462734216822459
"Temp_annual_range",0.532274489115154,0.0826014307167013,0.297040747836459,0.0199737637676402,0.0143095022591427
"Mean_Temp_wettest_quarter",0.78730706021601,0.166431995333806,0.0334466494279344,0.00125472610914751,2.18554689835034e-05
"Mean_Temp_driest_quarter",0.710386406718978,0.193086463149292,0.0870393011064049,0.00109858797421982,0.00096197464459727
"Mean_Temp_warmest_quarter",0.801848560836907,0.167123720363873,0.0282624014566926,0.000203689796101188,0.00172771672508734
"Mean_Temp_coldest_quarter",0.698221012448047,0.220682523595631,0.0691308045487639,0.00509966518170767,0.000210957826232674
"Annual_Precipitation",0.104483883859835,0.760588820337322,0.110846322257223,0.00130509799914052,0.00994123900664766
"Prec_wettest_month",0.00308425017926879,0.642087920136845,0.319278841626802,0.0147959740457604,0.00695719381165652
"Prec_driest_month",0.248161271807827,0.594664210680943,0.0149418667912613,0.114199046608057,0.0061672288867558
"Prec_seasonality",0.375620415195459,0.0471635106132836,0.352139636245442,0.167541524036468,0.0165564962705927
"Prec_wettest_quarter",0.0207665904488054,0.654806492139046,0.283821915965969,0.0180438621316171,0.00624329597608027
"Prec_drier_quarter",0.30935567558474,0.606681341000727,0.0029843273936983,0.0640208249582011,0.0038649541512552
"Prec_warmest_quarter",0.194725490311452,0.635035582888808,0.0203103256517475,0.0305516278426506,0.0197270339263835
"Prec_coldest_quarter",0.433212088037168,0.296151055499076,0.00222852480282795,0.116126514336377,0.00935963471522028
