eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
comp 1;5.6328;56.3283;56.3283;
comp 2;1.5159;15.1589;71.4872;
comp 3;1.2571;12.5715;84.0587;
comp 4;0.7417;7.4165;91.4752;
comp 5;0.3163;3.1632;94.6383;
comp 6;0.2687;2.6874;97.3258;
comp 7;0.1319;1.3193;98.6451;
comp 8;0.1048;1.0476;99.6927;
comp 9;0.0276;0.2764;99.9691;
comp 10;0.0031;0.0309;100;

var
coord
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
mean_Weight;0.8943;0.0429;-0.0469;-0.1163;-0.1409;
mean_totalCulmen;0.6817;0.6206;-0.3492;0.1167;-0.0572;
mean_exposedCulmen;0.6637;0.616;-0.3979;0.1081;-0.0225;
mean_billDepth;0.8879;-0.202;-0.1305;-0.228;0.2278;
mean_billWidth;0.9106;-0.1916;-0.0982;-0.2227;0.2183;
mean_gape;0.8777;-0.2347;0.2028;-0.2132;0.0047;
mean_wingLength;0.8676;0.0395;0.3728;0.0185;-0.1785;
mean_distPrimarySecondary;0.1942;0.5158;0.7358;0.2615;0.2856;
mean_tailLength;0.7559;-0.3064;0.3302;0.2743;-0.2448;
mean_tailShape;0.422;-0.5053;-0.3427;0.6418;0.1404;

cor
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
mean_Weight;0.8943;0.0429;-0.0469;-0.1163;-0.1409;
mean_totalCulmen;0.6817;0.6206;-0.3492;0.1167;-0.0572;
mean_exposedCulmen;0.6637;0.616;-0.3979;0.1081;-0.0225;
mean_billDepth;0.8879;-0.202;-0.1305;-0.228;0.2278;
mean_billWidth;0.9106;-0.1916;-0.0982;-0.2227;0.2183;
mean_gape;0.8777;-0.2347;0.2028;-0.2132;0.0047;
mean_wingLength;0.8676;0.0395;0.3728;0.0185;-0.1785;
mean_distPrimarySecondary;0.1942;0.5158;0.7358;0.2615;0.2856;
mean_tailLength;0.7559;-0.3064;0.3302;0.2743;-0.2448;
mean_tailShape;0.422;-0.5053;-0.3427;0.6418;0.1404;

cos2
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
mean_Weight;0.7998;0.0018;0.0022;0.0135;0.0198;
mean_totalCulmen;0.4647;0.3851;0.1219;0.0136;0.0033;
mean_exposedCulmen;0.4405;0.3795;0.1583;0.0117;5e-04;
mean_billDepth;0.7884;0.0408;0.017;0.052;0.0519;
mean_billWidth;0.8291;0.0367;0.0096;0.0496;0.0477;
mean_gape;0.7703;0.0551;0.0411;0.0454;0;
mean_wingLength;0.7527;0.0016;0.139;3e-04;0.0319;
mean_distPrimarySecondary;0.0377;0.2661;0.5414;0.0684;0.0816;
mean_tailLength;0.5714;0.0939;0.1091;0.0752;0.0599;
mean_tailShape;0.1781;0.2554;0.1175;0.4118;0.0197;

contrib
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
mean_Weight;14.199;0.1211;0.1751;1.8249;6.2742;
mean_totalCulmen;8.2502;25.4053;9.698;1.8364;1.0362;
mean_exposedCulmen;7.8211;25.0324;12.5942;1.5762;0.1603;
mean_billDepth;13.9969;2.6905;1.3543;7.0091;16.4096;
mean_billWidth;14.7198;2.4226;0.7671;6.6858;15.0665;
mean_gape;13.6757;3.6327;3.272;6.1271;0.007;
mean_wingLength;13.3623;0.1028;11.0563;0.0464;10.0764;
mean_distPrimarySecondary;0.6698;17.5509;43.0644;9.2169;25.7933;
mean_tailLength;10.1439;6.1951;8.6751;10.1459;18.9488;
mean_tailShape;3.1613;16.8466;9.3435;55.5312;6.2278;

ind
coord
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
1;3.9164;-2.2893;0.8786;2.5449;0.2025;
2;-2.0041;1.0139;0.1385;0.3478;0.57;
3;-1.2946;1.7258;0.8377;0.5816;0.3575;
4;1.2823;0.7897;1.8395;0.9132;1.0277;
5;1.5122;-0.4809;-1.0703;0.2453;-0.4185;
6;1.5584;-0.5119;0.7651;-0.6423;-0.1567;
7;-2.2222;-0.4119;-0.5675;-0.3813;-0.264;
8;15.0998;0.2472;-3.1631;-2.2187;1.4722;
9;0.552;-0.9073;0.1706;-0.4909;-0.0794;
10;0.4218;-0.7022;0.1529;-0.6329;-0.0752;
11;0.5631;-1.0113;-0.4587;-0.3364;-0.305;
12;0.5258;-0.7272;-0.1254;-0.1306;2e-04;
13;-0.6279;-1.3344;-0.9739;1.3368;-0.1517;
14;-0.3003;-2.1573;-1.0545;2.7903;-0.1789;
15;-0.01;-0.8424;-0.344;-0.576;-0.2085;
16;0.912;-0.1683;1.0985;0.0889;1.2696;
17;0.266;-0.8648;-0.1899;-0.6022;-0.1214;
18;-0.0279;-0.6;0.297;-0.1369;0.0468;
19;10.1541;-0.3411;-3.2174;-0.9881;1.8691;
20;-1.3508;-0.5548;-0.4026;-0.4203;-0.1839;
21;-1.482;1.73;0.9088;0.2925;0.3602;
22;2.6455;-0.8159;0.6739;-0.6078;2.142;
23;7.9028;0.8308;4.621;-0.4542;0.0328;
24;2.9714;-0.4577;0.7436;-0.8896;0.0605;
25;3.1588;-0.1214;0.4561;0.9679;-0.6692;
26;6.6603;0.0538;-0.699;0.4014;-0.558;
27;-0.9643;1.3251;-0.3345;1.0334;0.6421;
28;-1.3512;-0.3095;-0.15;-0.0686;0.2285;
29;-0.5824;-1.1466;-0.2911;-0.3899;0.3305;
30;-1.1624;-0.6545;-0.3632;-0.9069;0.2373;
31;-1.174;-0.7351;-0.4759;-0.6239;0.1165;
32;-0.8046;-0.7272;-0.1948;-0.5954;0.4587;
33;-0.31;0.2017;0.981;-0.4805;-0.0093;
34;-1.6627;0.0628;-0.0418;1.1625;0.1721;
35;-1.718;0.7619;0.6055;0.6665;0.316;
36;1.4215;-0.4747;0.3259;-0.878;0.1433;
37;-0.4657;-0.9204;-0.5388;-0.1279;0.1797;
38;-0.7444;-0.5384;-0.3001;-0.7196;-0.0838;
39;2.6153;0.8512;5.2332;0.2698;0.1898;
40;1.0863;0.5137;-0.0274;0.268;-0.462;
41;-0.472;-0.7281;-0.7427;0.1194;-0.2093;
42;-0.2041;-0.592;-0.4233;0.3176;-0.2062;
43;-1.4122;-0.4201;-0.9138;-0.0462;-0.1609;
44;-1.741;-0.3377;-0.8378;-0.1906;-0.0348;
45;1.563;-0.9324;0.2974;-0.7356;0.138;
46;-0.4268;-0.4003;0.1046;-0.4322;-0.4388;
47;-1.0009;2.6865;0.1823;0.3964;0.2853;
48;-1.2388;2.7301;0.2707;0.2266;0.3061;
49;-0.9462;2.4236;-0.0705;0.6186;0.2834;
50;-0.8754;2.5586;-0.1664;0.7418;0.2291;
51;-0.8545;2.7817;-0.0383;0.6258;0.2374;
52;-0.7739;2.743;-0.0864;0.5956;0.1916;
53;3.3837;0.029;-0.0782;0.5717;0.0278;
54;-1.1116;1.9302;0.4407;0.6216;0.4036;
55;-1.5911;1.4888;0.0409;0.6121;0.5178;
56;-1.371;-0.0745;-0.0359;-0.4131;-0.1887;
57;-1.4738;-0.483;-0.3211;-0.0717;-0.1718;
58;-1.4434;0.0301;0.2126;-0.1918;0.0686;
59;2.907;-1.6388;0.0927;0.7477;-0.1145;
60;5.0099;-2.7859;-0.3649;2.5453;-1.2141;
61;3.0269;-0.459;-0.4563;1.5139;-0.2048;
62;3.2035;0.0923;-0.1806;0.9152;-0.4739;
63;-1.6575;-0.3813;-0.4207;-0.2964;-0.0318;
64;-1.7469;-0.2363;-0.3523;-0.3244;-0.2952;
65;-1.1808;-0.117;-0.2377;-0.566;-0.2389;
66;-0.8766;-0.3098;-0.4209;-0.0678;-0.1215;
67;-1.1138;-0.3478;-0.3902;-0.0584;-0.2796;
68;-1.3108;-0.5973;-0.4271;0.0334;-0.1478;
69;-1.0242;-0.5252;-0.3768;0.0224;-0.202;
70;-1.7904;-0.2432;-0.2885;-0.6305;-0.0753;
71;-0.9289;2.2681;-0.7262;0.726;0.5644;
72;0.4792;-0.628;-0.0109;-0.7176;-0.3733;
73;-1.1437;-0.5219;0.1356;-0.276;-0.3011;
74;-1.1794;-0.3184;0.3346;-0.4581;-0.2322;
75;-0.9377;-0.6779;0.107;-0.82;-0.4532;
76;1.6841;6.3243;-2.5911;1.6304;-0.3539;
77;-1.7139;1.3497;0.1701;0.3003;0.357;
78;-1.7966;1.5251;-0.2312;0.2689;0.3764;
79;-1.2712;1.0189;-0.0328;1.0633;0.1578;
80;-1.7518;1.2608;-0.012;0.4625;0.4073;
81;5.0505;4.3012;-3.0819;-0.4459;-1.0614;
82;5.2179;5.433;-4.079;0.3527;-1.5188;
83;-1.47;-0.3134;-0.4119;0.3856;0.4235;
84;1.1542;-0.9383;0.1927;-1.2913;0.4106;
85;2.1569;-0.1498;-0.715;-1.5984;-0.347;
86;0.6278;0.0995;-0.6747;-1.3877;-0.1105;
87;-0.5019;0.0369;-0.5695;-1.2425;-0.0744;
88;3.6507;0.5027;-0.2532;-1.8578;-0.2119;
89;-0.9265;-0.4108;-0.5783;-0.862;-0.1119;
90;-1.1681;-0.0476;-0.5321;-1.13;0.0143;
91;-1.2172;-0.077;-0.2467;-0.902;0.2296;
92;-1.6727;1.151;0.3603;0.6314;0.6275;
93;-1.8545;1.11;0.344;0.3046;0.2894;
94;-1.2804;0.988;0.2529;0.2362;0.5412;
95;-1.341;-0.5601;-0.5773;0.4987;0.116;
96;-2.0181;-0.3319;-0.8333;-0.7262;-0.1781;
97;-1.7112;-0.0753;-1.0179;-0.6507;-0.0405;
98;-0.6653;-0.4226;-0.2678;-0.8632;0.0127;
99;-0.2459;-0.6325;0.2035;-0.5501;-0.0217;
100;-0.3656;-0.5624;0.0203;-0.3805;-0.2945;
101;-1.3898;2.0322;-0.3014;0.5449;0.3083;
102;-1.6831;0.0465;-0.0012;-0.3487;0.2601;
103;1.1207;0.2271;-0.1463;1.1332;-0.2882;
104;-0.8686;-1.8281;-0.6992;2.2872;-0.1675;
105;-1.5416;0.4707;1.0974;0.8017;-0.6846;
106;-1.6179;1.3474;1.4741;-0.489;-1.0235;
107;3.2526;-1.3085;0.2737;2.5032;-0.4362;
108;-0.7349;-0.8192;-0.0894;0.6877;-0.277;
109;-1.2215;-0.6821;-0.1374;0.0789;-0.339;
110;-1.832;-0.7978;-0.4497;0.1467;-0.2811;
111;-1.7678;-0.4526;-0.097;-0.4885;-0.5473;
112;4.5393;-0.3326;2.1264;-0.9908;-1.002;
113;-2.0348;1.0324;0.7831;0.0799;0.4055;
114;-2.3452;0.541;0.1347;0.2238;0.3448;
115;-2.0555;0.6758;-0.1152;0.2716;0.1742;
116;-1.3845;-0.3108;-0.2781;-0.7006;-0.1873;
117;-1.1694;-0.6635;-0.0381;-0.0494;-0.0445;
118;-1.098;-0.8406;-0.278;0.0693;-0.1525;
119;1.0875;-0.1401;0.5072;-0.6065;-0.2718;
120;-0.9973;-0.4961;-0.2421;-0.4799;-0.2593;
121;-1.0271;-0.2755;0.3677;-0.1617;0.1521;
122;-1.1278;-0.706;-0.5084;0.0223;-0.0704;
123;-1.2748;-0.4471;-0.3328;-0.6214;-0.0365;
124;-1.4582;-0.4675;-0.294;-0.4388;-0.0195;
125;-1.4188;-0.648;-0.3315;-0.2536;-0.1266;
126;-0.6075;-0.6178;0.0546;0.1355;-0.2884;
127;-1.2301;-0.477;-0.0803;-0.2674;-0.239;
128;-2.1097;1.0448;0.6391;-0.0176;0.3544;
129;-0.8382;0.6445;2.5432;0.1838;0.4805;
130;-2.0956;1.0841;1.2955;0.1318;0.296;
131;-1.1279;-0.4953;-0.3362;-0.6399;0.2317;
132;3.9773;0.8517;2.2274;0.8179;-1.609;
133;-0.4672;-0.2348;0.0904;-0.8668;-0.0873;
134;-1.9519;-0.5127;-0.1857;-0.3916;-0.1211;
135;-1.9665;-0.4438;-0.1595;-0.4602;-0.21;
136;2.2338;-0.515;0.9367;-0.8764;-0.7323;
137;0.2741;-0.4402;0.3364;-0.8805;-0.4063;
138;-2.0996;-0.3931;-0.8369;-0.4847;0.0073;
139;1.056;-0.2726;-0.289;0.9677;-0.4717;
140;-0.9881;-0.6781;-0.2478;0.0924;-0.2753;
141;-1.6818;-0.4518;-0.4116;-0.4279;0.0132;
142;-0.2932;2.9144;1.2408;1.1455;0.1099;
143;-1.2133;-0.3098;0.0708;-0.6291;-0.0599;
144;4.9327;-1.6194;0.6346;0.7136;2.5769;
145;0.0365;0.7353;1.7881;-0.0849;1.3899;
146;-2.6072;0.3345;0.1535;0.078;0.2417;
147;-1.6252;-0.5936;-0.9075;-0.3253;-0.0632;
148;-1.5714;-0.4945;-0.8174;-0.369;-0.0723;
149;-1.6094;-0.7708;-0.7996;-0.4749;-0.1105;
150;-0.7882;-0.6697;-0.4465;-0.2833;-0.2186;
151;-0.7943;-0.5666;-0.2524;-0.4188;-0.325;
152;-1.2883;0.2338;0.4818;-0.481;0.8955;
153;-1.1232;-0.1573;-0.0273;-0.9474;0.4374;
154;2.2556;0.6398;-1.1416;-0.559;-0.4509;
155;-0.7272;-1.5761;-0.9495;1.6809;-0.2143;
156;-0.2382;-2.1033;-0.9727;2.5141;-0.257;
157;-0.5413;-1.6636;-1.074;1.8864;-0.083;
158;1.9577;0.205;2.9307;1.0588;-0.0837;
159;-1.2091;-0.2653;0.1387;-0.87;0.0993;
160;-1.0509;-0.434;0.0618;-0.7376;0.1641;
161;-1.0215;-0.5701;-0.3508;-0.2799;-0.1754;
162;0.2435;-0.2631;0.3107;-0.8127;0.2543;
163;0.9531;-0.8645;-0.8001;0.7368;-0.3243;
164;0.2927;0.7197;1.9456;-0.1863;1.5737;
165;-1.413;-0.2188;-0.8408;-0.3794;-0.0114;
166;-1.7567;-0.322;-1.0108;-0.3803;-0.0048;
167;3.482;-2.1937;1.3011;2.6354;0.9419;
168;4.156;-0.3996;1.2564;0.2208;-1.522;
169;1.9609;-0.2452;0.4307;-0.1533;-0.8773;
170;-1.2822;-0.7282;-0.1095;0.2965;0.059;
171;2.4833;1.6225;5.8367;-1.9231;-1.9855;
172;-0.3316;-0.77;-0.0187;0.4876;0.0495;
173;0.8122;-0.3962;-0.3887;0.0278;0.1432;
174;-0.6916;-0.3466;-0.1084;-0.9374;0.3082;

cos2
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
1;0.4992;0.1706;0.0251;0.2108;0.0013;
2;0.7131;0.1825;0.0034;0.0215;0.0577;
3;0.2839;0.5045;0.1189;0.0573;0.0216;
4;0.2093;0.0794;0.4306;0.1061;0.1344;
5;0.4926;0.0498;0.2468;0.013;0.0377;
6;0.6026;0.065;0.1452;0.1024;0.0061;
7;0.8621;0.0296;0.0562;0.0254;0.0122;
8;0.9194;2e-04;0.0403;0.0199;0.0087;
9;0.2087;0.5636;0.0199;0.165;0.0043;
10;0.1536;0.4258;0.0202;0.346;0.0049;
11;0.1671;0.5388;0.1109;0.0596;0.049;
12;0.2573;0.4921;0.0146;0.0159;0;
13;0.0783;0.3538;0.1884;0.3551;0.0046;
14;0.0065;0.3361;0.0803;0.5623;0.0023;
15;1e-04;0.4867;0.0812;0.2276;0.0298;
16;0.1989;0.0068;0.2886;0.0019;0.3855;
17;0.0498;0.5264;0.0254;0.2552;0.0104;
18;0.0011;0.5017;0.1229;0.0261;0.0031;
