"","quanti.correlation","quanti.p.value"
"mean_billWidth",0.910572688134493,6.76423849869372e-68
"mean_Weight",0.894318407766117,5.70597728142351e-62
"mean_billDepth",0.887929921860752,6.68952750341369e-60
"mean_gape",0.877685043193919,7.83905668005201e-57
"mean_wingLength",0.867567783370894,4.6307003591224e-54
"mean_tailLength",0.755902078700041,1.82289837755241e-33
"mean_totalCulmen",0.68170428517655,4.02749968712012e-25
"mean_exposedCulmen",0.663739286732997,1.84464664771133e-23
"mean_tailShape",0.421981268453661,6.65702491505545e-09
"mean_distPrimarySecondary",0.194231837165541,0.0102248174285804
