"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"mean_Weight",0.799805414469316,0.00183629311674104,0.002201145399856,0.0135343681251639,0.0198463238127421
"mean_totalCulmen",0.464720732428068,0.385116516279163,0.121918315534854,0.0136198879586264,0.00327755336375868
"mean_exposedCulmen",0.440549840752827,0.379464311669502,0.158327659324665,0.0116896022492573,0.000507023457487676
"mean_billDepth",0.788419546135638,0.0407844757830052,0.0170259178838293,0.0519832567202598,0.0519064991390652
"mean_billWidth",0.829142620376472,0.0367236814855381,0.00964382490908532,0.0495855880644216,0.0476577618698507
"mean_gape",0.770331035046307,0.0550671500150967,0.0411344860386195,0.0454419998576457,2.2079372983267e-05
"mean_wingLength",0.752673858743082,0.00155788175320946,0.138993863563593,0.000343864699326813,0.0318733576760833
"mean_distPrimarySecondary",0.0377260065687012,0.266053035448752,0.541383549041795,0.0683572320717796,0.0815885803656119
"mean_tailLength",0.571387952583039,0.0939113324035485,0.109059102814241,0.0752468514439325,0.0599384011898533
"mean_tailShape",0.178068190925759,0.255376209104128,0.117462132624061,0.411847650488686,0.0196994873286014
